# Zeit / s, Strecke / m
0.06001,0.12025
0.12001,0.24090
0.18002,0.36150
0.24002,0.48190
0.30003,0.60208
0.36004,0.72190
0.42004,0.84215
0.48005,0.96360
0.54005,1.08405
0.60006,1.20455
0.66007,1.32506
0.72007,1.44672
0.78008,1.56781
0.84008,1.68885
0.90009,1.81034
0.96010,1.93098
1.02010,2.05271
1.08011,2.17418
1.14011,2.29526
1.20012,2.41655
1.26013,2.53847
1.32013,2.65990
1.38014,2.78179
1.44014,2.90384
1.50015,3.02581
1.56016,3.14729
1.62016,3.26917
1.68017,3.39121
1.74017,3.51295
1.80018,3.63566
1.86019,3.75815
1.92019,3.88092
1.98020,4.00283
2.04020,4.12574
2.10021,4.24876
2.16022,4.37114
2.22022,4.49441
2.28023,4.61799
2.34023,4.74106
2.40024,4.86416
2.46025,4.98668
2.52025,5.11051
2.58026,5.23341
2.64026,5.35719
2.70027,5.48177
2.76028,5.60600
2.82028,5.73050
2.88029,5.85496
2.94029,5.97868
3.00030,6.10270
3.06031,6.22610
3.12031,6.34992
3.18032,6.47319
3.24032,6.59711
3.30033,6.72099
3.36034,6.84554
3.42034,6.96978
3.48035,7.09511
3.54035,7.21962
3.60036,7.34387
3.66037,7.46803
3.72037,7.59259
3.78038,7.71695
3.84038,7.84204
3.90039,7.96700
3.96040,8.09233
4.02040,8.21657
4.08041,8.34070
4.14041,8.46635
4.20042,8.59198
4.26043,8.71619
4.32043,8.84183
4.38044,8.96727
4.44044,9.09236
4.50045,9.21798
4.56046,9.34357
4.62046,9.46937
4.68047,9.59642
4.74047,9.72163
4.80048,9.84695
4.86049,9.97300
4.92049,10.09921
4.98050,10.22538
5.04050,10.35161
5.10051,10.47707
5.16052,10.60352
5.22052,10.72884
5.28053,10.85555
5.34053,10.98206
5.40054,11.10918
5.46055,11.23580
5.52055,11.36228
5.58056,11.48907
5.64056,11.61620
5.70057,11.74306
5.76058,11.87111
5.82058,11.99755
5.88059,12.12399
5.94059,12.25028
6.00060,12.37787
6.06061,12.50592
6.12061,12.63408
6.18062,12.76199
6.24062,12.88990
6.30063,13.01718
6.36064,13.14537
6.42064,13.27374
6.48065,13.40127
6.54065,13.52945
6.60066,13.65654
6.66067,13.78426
6.72067,13.91203
6.78068,14.04073
6.84068,14.16979
6.90069,14.29870
6.96070,14.42690
7.02070,14.55594
7.08071,14.68565
7.14071,14.81445
7.20072,14.94332
7.26073,15.07144
7.32073,15.19937
7.38074,15.32849
7.44074,15.45804
7.50075,15.58685
7.56076,15.71528
7.62076,15.84410
7.68077,15.97440
7.74077,16.10340
7.80078,16.23362
7.86079,16.36386
7.92079,16.49340
7.98080,16.62452
8.04080,16.75497
8.10081,16.88506
8.16082,17.01562
8.22082,17.14657
8.28083,17.27653
8.34083,17.40643
8.40084,17.53750
8.46085,17.66775
8.52085,17.79880
8.58086,17.93041
8.64086,18.06159
8.70087,18.19257
8.76088,18.32352
8.82088,18.45498
8.88089,18.58537
8.94089,18.71650
9.00090,18.84711
9.06091,18.97825
9.12091,19.10863
9.18092,19.24050
9.24092,19.37201
9.30093,19.50351
9.36094,19.63434
9.42094,19.76537
9.48095,19.89839
9.54095,20.02915
9.60096,20.16089
9.66097,20.29345
9.72097,20.42659
9.78098,20.55920
9.84098,20.69197
9.90099,20.82449
